id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
0,2024-02-19,Musculation,Pectoraux,Développé Couché,,60.0,6.0,
1,2024-02-19,Musculation,Pectoraux,Développé Couché,,60.0,6.0,
2,2024-02-19,Musculation,Pectoraux,Développé Couché,,60.0,6.0,
3,2024-02-19,Musculation,Pectoraux,Développé Couché,,50.0,10.0,
4,2024-02-19,Musculation,Pectoraux,Développé Couché,,50.0,9.0,
5,2024-02-19,Musculation,Pectoraux,Développé Couché,,50.0,10.0,
6,2024-02-19,Musculation,Pectoraux,Ecartés Poulie,,32.0,10.0,bonne hauteur 11
7,2024-02-19,Musculation,Pectoraux,Ecartés Poulie,,36.0,10.0,
8,2024-02-19,Musculation,Pectoraux,Ecartés Poulie,,36.0,10.0,
9,2024-02-19,Musculation,Pectoraux,Ecartés Poulie,,38.3,10.0,
10,2024-02-21,Musculation,Dos,Lat Pull,,23.0,10.0,
11,2024-02-21,Musculation,Dos,Lat Pull,,27.0,20.0,
12,2024-02-21,Musculation,Dos,Lat Pull,,32.0,20.0,
13,2024-02-21,Musculation,Dos,Lat Pull,,36.0,12.0,
14,2024-02-21,Musculation,Dos,Lat Pull,,36.0,12.0,
15,2024-02-21,Musculation,Dos,Lat Pull,,41.0,12.0,
16,2024-02-21,Musculation,Dos,Lat Pull,,41.0,12.0,
17,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,10.0,
18,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,10.0,
19,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,
20,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,
21,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,
22,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,
23,2024-02-21,Musculation,Dos,Biceps Curls,,5.0,12.0,
24,2024-02-21,Musculation,Dos,Biceps Curls,,5.0,12.0,
25,2024-02-21,Musculation,Dos,Biceps Curls,,5.0,12.0,
