,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire,id
0,2024-02-19,Musculation,Pectoraux,Développé Couché,,60.0,6.0,,0
1,2024-02-19,Musculation,Pectoraux,Développé Couché,,60.0,6.0,,1
2,2024-02-19,Musculation,Pectoraux,Développé Couché,,60.0,6.0,,2
3,2024-02-19,Musculation,Pectoraux,Développé Couché,,50.0,10.0,,3
4,2024-02-19,Musculation,Pectoraux,Développé Couché,,50.0,9.0,,4
5,2024-02-19,Musculation,Pectoraux,Développé Couché,,50.0,10.0,,5
6,2024-02-19,Musculation,Pectoraux,Pectoraux à la Poulie Haut,,32.0,10.0,bonne hauteur 11,6
7,2024-02-19,Musculation,Pectoraux,Pectoraux à la Poulie Haut,,36.0,10.0,,7
8,2024-02-19,Musculation,Pectoraux,Pectoraux à la Poulie Haut,,36.0,10.0,,8
9,2024-02-19,Musculation,Pectoraux,Pectoraux à la Poulie Haut,,38.3,10.0,,9
10,2024-02-21,Musculation,Dos,Lat Pull,,23.0,10.0,,10
11,2024-02-21,Musculation,Dos,Lat Pull,,27.0,20.0,,11
12,2024-02-21,Musculation,Dos,Lat Pull,,32.0,20.0,,12
13,2024-02-21,Musculation,Dos,Lat Pull,,36.0,12.0,,13
14,2024-02-21,Musculation,Dos,Lat Pull,,36.0,12.0,,14
15,2024-02-21,Musculation,Dos,Lat Pull,,41.0,12.0,,15
16,2024-02-21,Musculation,Dos,Lat Pull,,41.0,12.0,,16
17,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,10.0,,17
18,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,10.0,,18
19,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,,19
20,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,,20
21,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,,21
22,2024-02-21,Musculation,Dos,Seated Row Prise Verticale,,54.3,12.0,,22
23,2024-02-21,Musculation,Dos,Biceps Curls,,5.0,12.0,,23
24,2024-02-21,Musculation,Dos,Biceps Curls,,5.0,12.0,,24
25,2024-02-21,Musculation,Dos,Biceps Curls,,5.0,12.0,,25
26,2024-02-25,Musculation,Jambes,Squat,,20.0,10.0,,26
27,2024-02-25,Musculation,Jambes,Squat,,60.0,10.0,,27
28,2024-02-25,Musculation,Jambes,Squat,,70.0,10.0,,28
29,2024-02-25,Musculation,Jambes,Squat,,70.0,10.0,,29
30,2024-02-25,Musculation,Jambes,Squat,,70.0,10.0,,30
31,2024-02-25,Musculation,Jambes,Hip Thrust,,100.0,10.0,,31
32,2024-02-25,Musculation,Jambes,Hip Thrust,,100.0,12.0,,32
