,Exercice,Séance
0,Développé Couché,Pectoraux
6,Pectoraux à la Poulie Haut,Pectoraux
10,Lat Pull,Dos
17,Seated Row Prise Verticale,Dos
23,Biceps Curls,Dos
26,Squat,Jambes
31,Hip Thrust,Jambes
35,Mollet sur Leg Press,Jambes
40,Leg Press,Jambes
50,Hip Abduction,Jambes
54,Prone leg Curl,Jambes
66,Triceps Pull Downs Poulie,Pectoraux
70,Pec Fly,Pectoraux
85,Biceps Curl Assis,Dos
89,Rear Delt,Dos
107,Leg Extension,Jambes
116,Développé Incliné,Pectoraux
121,Shoulder Press,Pectoraux
125,Dip Assist,Pectoraux
130,Développé Incliné Haltères,Pectoraux
139,Seated Row,Dos
145,Arm Curl,Dos
154,Élévation Latérale Haltères,Épaules
158,Triceps Pull Downs Poulie,Bras
165,Triceps à la Poulie Inversée,Bras
169,Biceps Curls,Bras
170,Biceps Curl Allongé,Bras
177,Rotary Torso,Abdos
195,Élévation Latérale Haltères,Épaules Bras
200,Triceps Pull Downs Poulie,Épaules Bras
205,Biceps Curl Poulie,Épaules Bras
210,Rear Delt,Épaules Bras
222,Abdos Inclinés,Abdos
225,Chest Press,Pectoraux
230,Rotary Torso,Abdos Jambes
235,Abdos Machine,Abdos Jambes
236,Abdos Inclinés,Abdos Jambes
240,Mollet sur Leg Press,Abdos Jambes
249,Machine Abdominaux,Abdos Jambes
253,Lower Back Bench,Abdos Jambes
264,Abdos Inclinés,Dos
269,Lat Pull Prise Poignée,Dos
270,Machine Abdominaux,Abdos
281,Abdos Inclinés,
283,Lower Back Bench,
296,Back Extension,Pectoraux
301,Diverging Seated Row Prise Verticale,Dos
305,Biceps Curl Poulie,Dos
311,Rotary Torso,Mobilités Jambes
315,Abdos Inclinés,Mobilités Jambes
318,Squat,Mobilités Jambes
340,Seated Row,Jambes
361,Développé Militaire à la barre,Épaules
364,Triceps à la Poulie Inversée,Épaules
369,Élévations Latérales à la poulie,Épaules
372,Converging Shoulder Press,Épaules
407,Développé Militaire à la barre,Haut du Corps
412,Pec Fly,Haut du Corps
418,Converging Chest Press,Haut du Corps
423,Triceps à la Poulie Inversée,Haut du Corps
426,Traction avec Élastique,Dos
431,Tirage Verticale,Dos
443,Back Extension,Dos
448,Rotary Torso,Dos
460,Triceps à la Poulie Inversée,Pectoraux
470,Développé Militaire à la barre,Full Body
489,Biceps Curl Poulie,Bras
507,Élévations Frontales Haltères,Épaules
515,Développé Couché Haltères,Pectoraux
530,Dips,Bras
545,Diverging Seated Row,Dos
549,Squat,Full Body
554,Hip Thrust,Full Body
561,Triceps Double Chassées Croisé à la Poulie,Bras
567,Arm Curl,Bras
571,Rear Delt,Full Body
576,Lat Pull,Full Body
586,Développé Couché,Full Body
595,Pectoraux à la Poulie Haut ,Pectoraux
600,Pectoraux à la Poulie Bas,Pectoraux
629,Biceps Curl Prise Marteau,Dos
630,Développé Militaire Haltères,Épaules
641,Low Row,Dos
658,Biceps Curl Allongé,Dos
661,Mollet sur Leg Press,Full Body
665,Biceps Curl à la barre,Full Body
670,Triceps à la Poulie Inversée,Full Body
675,Biceps Curl Allongé,Full Body
695,Fentes,Jambes
716,Élévation Frontale Disque,Pectoraux
735,Back Extension,Abdos
739,Shoulder Press,Épaules
745,Rowing Debout,Épaules
785,Développé Couché Prise Serrée,Épaules
797,Développé Couché Prise Serrée,Bras
820,Rowing Buste Penché,Dos
828,Lateral Raise Poulie,Épaules
838,Rear Delt,Épaules
853,Élévations Latérales à la poulie,Full Body
854,Dips,Full Body
867,Développé Couché Prise Serrée,Full Body
877,Développé Couché Prise Serrée,Pectoraux
891,Abdominal,Full Body
916,Diverging Lat Pull Down,Dos
932,Face Pull Down à la poulie,Épaules
947,Triceps Double Chassées Croisé à la Poulie,Épaules
958,Biceps Curl Prise Marteau,Abdos
1009,Développé Militaire,Épaules
1020,Abs Wheel,Abdos
1025,Biceps Curl Poulie,Abdos
1041,Développé Couché Incliné Haut,Pectoraux
1078,Triceps à la Poulie Inversée,Triceps Abdos
1084,Abdos Machine,Triceps Abdos
1096,Rowing Menton,Épaules
1106,Tirage Menton,Pectoraux
1111,Rotary Torso,Pectoraux
1114,Triceps Double Chassées Croisé à la Poulie,Pectoraux
1118,Abs Wheel,Abdos Biceps
1123,Abdos Machine,Abdos Biceps
1128,Biceps Curl Allongé,Abdos Biceps
1133,Biceps Curl Prise Marteau à la Poulie,Abdos Biceps
1149,Biceps Curl Assis,Jambes
1168,Développé Couché Incliné Bas,Pectoraux
1180,Développé Militaire à la Smith Machine,Épaules
1194,Élévation Frontale Poulie,Épaules
1200,Rowing Bar,Dos
1206,Développé Couché Incliné Haut,Haut du Corp
1211,Abs Wheel,Haut du Corp
1216,Triceps à la Poulie Inversée,Haut du Corp
1221,Rotary Torso,Haut du Corp
1224,Back Extension,Haut du Corp
1228,Développé Couché Prise Serrée,Haut du Corp
1232,Développé militaires Haltères,Full Body
1249,Développé Couché Rapproché,Pectoraux
1268,Traction avec Élastique,Full Body
1324,Abdos Machine,Dos
1350,Développer Militaire à la Smith Machine,Épaules
1354,Triceps Pull Downs Poulie,Épaules
1390,Converging Shoulder Press,Full Body
1402,Abs Wheel,Full Body
1420,Seated Dips,Pectoraux
1425,Converging Shoulder Press,Pectoraux
