Index,Exercice,Muscle_Area
0,Abdominal,Abdominaux
1,Abdos Machine,Abdominaux
2,Abs Wheel,Abdominaux
3,Arm Curl,Bras
4,Back Extension,Dos
5,Biceps Curl Allongé,Bras
6,Biceps Curl Assis,Bras
7,Biceps Curl Poulie,Bras
8,Biceps Curl Prise Marteau,Bras
9,Biceps Curl Prise Marteau à la Poulie,Bras
10,Biceps Curl à la barre,Bras
11,Biceps Curls,Bras
12,Biceps curl allongé,Bras
13,Chest Press,Pectoraux
14,Converging Chest Press,Pectoraux
15,Converging Shoulder Press,Épaules
16,Dip Assist,Pectoraux
17,Dips,Pectoraux
18,Diverging Lat Pull Down,Dos
19,Diverging Seated Row,Dos
20,Diverging Seated Row Prise Verticale,Dos
21,Développé Couché,Pectoraux
22,Développé Couché Prise Serrée,Pectoraux
23,Développé Couché haltère,Pectoraux
24,Développé Couché incliné bas,Pectoraux
25,Développé Couché incliné haut,Pectoraux
26,Développé Incliné,Pectoraux
27,Développé Incliné Haltères,Pectoraux
28,Développé Militaire,Épaules
29,Développé Militaire Haltères,Épaules
30,Développé Militaire à la Smith Machine,Épaules
31,Développé Militaire à la barre,Épaules
32,Ecartés Poulie,Pectoraux
33,Face Pull Down à la poulie,Épaules
34,Fentes,Jambes
35,Hip Abduction,Jambes
36,Hip Adduction,Jambes
37,Hip Thrust,Jambes
38,Lat Pull,Dos
39,Lat Pull prise Poignée,Dos
40,Lateral Raise Poulie,Épaules
41,Leg Extension,Jambes
42,Leg Press,Jambes
43,Low Row,Dos
44,Lower Back Bench,Dos
45,Machine Abdominaux,Abdominaux
46,Mollets sur Leg Press,Jambes
47,Pec Fly,Pectoraux
48,Pectoraux à la poulie,Pectoraux
49,Pectoraux à la poulie bas,Pectoraux
50,Pectoraux à la poulie haut,Pectoraux
51,Prone leg Curl,Jambes
52,Rear Delt,
53,Rotary Torso,Abdominaux
54,Rowing Bar,Dos
55,Rowing Menton,Dos
56,Rowing buste penché,Dos
57,Rowing debout,Dos
58,Seated Row,Dos
59,Seated Row Prise Verticale,Dos
60,Shoulder press,Épaules
61,Squat,Jambes
62,Tirage Menton,Dos
63,Tirage Verticale,Dos
64,Traction avec Élastique,Dos
65,Triceps Double Chassées Croisé à la poulie,Bras
66,Triceps Doubles Chassées à la Poulie,Bras
67,Triceps Pull Downs Poulie,Bras
68,Triceps à la Poulie,Bras
69,Triceps à la Poulie Inversée,Bras
70,Triceps à la poulie,Bras
71,Élévation Frontale Disque,Épaules
72,Élévation Frontale Poulie,Épaules
73,Élévations Frontales Haltères,Épaules
74,Élévations Latérales Haltères,Épaules
75,Élévations Latérales à la Poulie,Épaules
